id,lng,lat,name,cityname,province,count
83,114.356519,30.525407,东境声音图书馆,武汉市,湖北省,1
84,114.406142,30.474185,24小时自助图书馆(软件园东路),武汉市,湖北省,1
85,114.273476,30.45886,武汉工商学院图书馆,武汉市,湖北省,1
86,114.344007,30.512915,武汉理工大学鉴湖校区图书馆信息分馆,武汉市,湖北省,1
87,114.440597,30.49366,文华学院图书馆,武汉市,湖北省,1
88,114.300965,30.617247,加州幼儿园-图书馆,武汉市,湖北省,1
89,114.205167,30.552129,人信汇海豚儿童图书馆,武汉市,湖北省,1
90,114.327176,30.577784,武汉航海职业技术学院图书馆(暂停营业),武汉市,湖北省,1
91,114.400081,30.457421,书小鱼·共享图书馆,武汉市,湖北省,1
92,114.206903,30.505149,悠贝亲子图书馆(经开永旺美吉姆馆),武汉市,湖北省,1
93,114.413354,30.484544,武汉职业技术学院东区图书馆,武汉市,湖北省,1
94,114.262545,30.58468,万松街社区图书室,武汉市,湖北省,1
95,114.433128,30.460711,武汉工程大学流芳校区图书馆,武汉市,湖北省,1
96,114.379715,30.474338,中南财经政法大学南湖校区图书馆(明德路),武汉市,湖北省,1
97,114.428752,30.443539,武汉软件工程职业学院图书馆,武汉市,湖北省,1
98,114.247874,30.550683,五园里社区图书阅览室,武汉市,湖北省,1
99,114.303725,30.694442,悠贝亲子图书馆·盘龙城万达馆,武汉市,湖北省,1
100,114.361316,30.418056,武昌理工学院图书馆,武汉市,湖北省,1
101,114.317371,30.423975,武汉东湖学院图书馆,武汉市,湖北省,1
102,114.371865,30.578276,武汉光谷职业学院图书馆,武汉市,湖北省,1
103,114.450092,30.480851,湖北第二师范学院图书馆,武汉市,湖北省,1
104,114.193156,30.628698,悠贝亲子图书馆,武汉市,湖北省,1
105,114.420501,30.437014,武汉传媒学院图书馆,武汉市,湖北省,1
106,114.43621,30.417617,湖北经济学院图书馆,武汉市,湖北省,1
107,114.214091,30.588353,武汉图书馆军休三中心共建图书馆,武汉市,湖北省,1
108,114.476467,30.481592,24小时自助图书馆(二妃山庄前厅部西南),武汉市,湖北省,1
109,114.270667,30.448068,湖北中医药大学黄家湖校区图书馆,武汉市,湖北省,1
110,114.269449,30.632814,24小时自助图书馆(后湖大道),武汉市,湖北省,1
111,114.40509,30.632257,24小时自助图书馆(沿港路),武汉市,湖北省,1
112,114.315048,30.510424,武汉市少儿图书馆南湖街分馆,武汉市,湖北省,1
113,114.265617,30.428837,武汉交通职业学院图书馆,武汉市,湖北省,1
114,114.162542,30.504865,悠贝亲子图书馆(经开文汐素质成长中心),武汉市,湖北省,1
115,114.404359,30.640249,24小时自助图书馆(和平大道),武汉市,湖北省,1
116,114.376407,30.403695,武汉信息传播职业技术学院图书馆,武汉市,湖北省,1
117,114.266933,30.437754,武汉科技大学图书馆(黄家湖西路),武汉市,湖北省,1
118,114.372788,30.689201,湖北大学知行学院图书馆,武汉市,湖北省,1
119,114.212216,30.598284,24小时自助图书馆(南泥湾大道),武汉市,湖北省,1
120,114.255704,30.649501,将军路文化广场图书馆,武汉市,湖北省,1
121,114.391924,30.529708,中国数字图书馆,武汉市,湖北省,1
122,114.222509,30.652311,武汉轻工大学金银湖校区图书馆,武汉市,湖北省,1
123,114.158517,30.514117,江汉大学-图书馆,武汉市,湖北省,1
124,114.299834,30.57917,自助图书馆(暂停营业),武汉市,湖北省,1
125,114.235393,30.637623,武汉轻工大学图书馆,武汉市,湖北省,1
126,114.359738,30.593289,书小鱼·共享图书馆(保利馆),武汉市,湖北省,1
127,114.234834,30.566869,武汉船舶职业技术学院图书馆,武汉市,湖北省,1
128,114.277007,30.549492,莲花湖社区图书阅览室,武汉市,湖北省,1
129,114.308224,30.594845,武汉图书馆24小时自助图书馆,武汉市,湖北省,1
130,114.162653,30.468622,汤湖图书馆,武汉市,湖北省,1
131,114.410336,30.468171,武汉华夏理工学院图书馆,武汉市,湖北省,1
132,114.226682,30.580722,武汉图书馆24小时自助图书馆,武汉市,湖北省,1
