longitude,latitude,id,name,address
114.293776,30.545939,91,武汉神憩商务旅馆,武昌区
114.317108,30.531153,92,77连锁酒店(武昌火车站店),武昌区
114.336572,30.558135,93,38.6℃湖景·影院酒店(万达楚河汉街店),武昌区
114.325298,30.540341,94,武汉天来宾馆,武昌区
114.317569,30.532149,95,520时尚主题酒店式公寓(武昌火车站店),武昌区
114.351626,30.604104,96,武汉圣华旅馆,武昌区
114.333454,30.536839,97,城市便捷酒店(武汉中南路地铁口店),武昌区
114.350483,30.545519,98,锦江之星品尚(楚河汉街武汉大学水果湖店),武昌区
114.318233,30.536886,99,汉庭酒店(武昌火车站店),武昌区
114.347895,30.549912,100,武汉都恋精品酒店,武昌区
114.325331,30.533222,101,武汉万兴快捷酒店,武昌区
114.342314,30.595954,102,馨如家宾馆(武汉和平大道店),武昌区
114.299416,30.548123,103,如家快捷酒店(武汉户部巷店),武昌区
114.342283,30.586136,104,佳源时尚主题公寓(武汉徐东大街店),武昌区
114.343750,30.557852,105,阳光168宾馆,武昌区
114.342283,30.586133,106,1314情侣主题公寓(武汉徐东销品茂店),武昌区
114.309718,30.563653,107,武汉尚斐主题公寓,武昌区
114.308205,30.545576,108,武汉亚康商务旅馆,武昌区
114.354363,30.581113,109,武汉七鑫酒店公寓(徐东汪家墩地铁店),武昌区
114.31469,30.531436,110,锦江之星(武汉武昌火车站店),武昌区
114.318302,30.522709,111,武汉汉客hank艺术客栈 (武昌火车站店),武昌区
114.332396,30.538269,112,如家酒店(武汉中南地铁站天紫广场店),武昌区
114.314946,30.53016,113,雅斯特酒店(武昌火车站地铁站店),武昌区
114.317427,30.532286,114,陌陌世界微酒店(武汉武昌火车站店),武昌区
114.313565,30.507386,115,武汉梦之恋主题酒店,武昌区
114.296308,30.547042,116,武汉阳光98旅馆民主路店,武昌区
114.298551,30.546530,117,武汉都念精品酒店,武昌区
114.336457,30.558008,118,武汉北岛酒店(楚河汉街店),武昌区
114.315291,30.546730,119,武汉88旅馆,武昌区
114.318578,30.520243,120,武汉静安大酒店,武昌区
114.314382,30.525542,121,武汉随缘旅馆,武昌区
114.307268,30.536927,122,武汉豆丁公寓,武昌区
114.330759,30.544783,123,洪锦酒店,武昌区
114.329911,30.580237,124,武汉丽晶晶公寓,武昌区
114.356373,30.536251,125,汉庭酒店(武汉大学店),武昌区
114.324976,30.532451,126,豆豆智慧旅馆(武汉傅家坡长途客运站店),武昌区
114.350391,30.553010,127,中南旅馆(武汉中南医院店),武昌区
114.341993,30.555671,128,巴厘岛公寓(楚河汉街店),武昌区
114.309485,30.538555,129,城市便捷酒店(武汉黄鹤楼首义地铁站店),武昌区
114.298128,30.543349,130,天马城市旅馆(武汉司门口店),武昌区
114.331419,30.582792,131,武汉玩家青年旅舍,武昌区
114.328023,30.578715,132,嘉禾时尚公寓(湖北大学店),武昌区
114.325194,30.500813,133,雅斯特酒店(武汉南湖理工大学佰港城店),武昌区
114.342224,30.586342,134,武汉e家公寓酒店,武昌区
114.324188,30.531299,135,武汉旺旺青年公寓,武昌区
114.341600,30.555592,136,武汉城市花园公寓,武昌区
114.356292,30.536361,137,贝壳酒店(武汉大学店),武昌区
114.337561,30.557663,138,武汉瑞斯曼酒店,武昌区
114.325782,30.580118,139,汉驿连锁酒店(武汉湖北大学店),武昌区
114.318376,30.532988,140,武汉珍珍家庭公寓,武昌区
114.297069,30.549848,141,武汉尚果创意酒店(黄鹤楼户部巷中华路店),武昌区
114.320385,30.528047,142,武汉春燕来住宿,武昌区
114.339592,30.555517,143,暖窝窝民宿(武汉楚河汉街店),武昌区
114.307845,30.538956,144,武汉天顺城市旅店,武昌区
114.306452,30.533783,145,99优选酒店(武昌首义路地铁站店),武昌区
114.317731,30.532115,146,武汉格阁小屋公寓,武昌区
114.310832,30.533023,147,枫树园青旅(武昌火车站店),武昌区
114.305496,30.555957,148,武汉积玉桥G佳公寓(和平大道分店),武昌区
114.313642,30.512600,149,武汉银梦时尚宾馆,武昌区
114.302761,30.548427,150,缘爱酒店(武汉黄鹤楼户部巷店),武昌区
114.336917,30.532270,151,城市便捷酒店(武汉武珞路中南宝通寺地铁站店),武昌区
114.322135,30.544057,152,武汉金叶城市宾馆,武昌区
114.311314,30.565964,153,千百度酒店式公寓(万达店),武昌区
114.336425,30.558090,154,春风里酒店式公寓(武汉汉街万达广场店),武昌区
114.333239,30.527188,155,阳光大学生公寓(武汉丁字桥店),武昌区
114.305354,30.519419,156,汉庭酒店(武昌火车站起义门店),武昌区
114.351599,30.599526,157,武汉诚邦MO酒店,武昌区
114.326100,30.573513,158,武汉筑梦者太空舱酒店,武昌区
114.306873,30.536276,159,武汉天怡旅馆,武昌区
114.323063,30.530008,160,武汉鑫梦招待所,武昌区
114.329805,30.580649,161,武汉77优品酒店,武昌区
114.298743,30.542530,162,怡莱酒店（武汉黄鹤楼户部巷核桃酒店）,武昌区
114.317342,30.531299,163,武汉火烈鸟青年旅社,武昌区
114.309609,30.563601,164,悦城公寓(武汉江滩店),武昌区
114.340586,30.593129,165,华怡酒店(原如家联盟华驿酒店),武昌区
114.299450,30.543223,166,梦之恋主题酒店(黄鹤楼店),武昌区
114.324323,30.574547,167,武汉怡然公寓,武昌区
114.344463,30.544700,168,武汉时尚轩旅馆,武昌区
114.341904,30.555560,169,武汉星辰太空舱青年旅社,武昌区
114.303911,30.539695,170,武汉梦江南商务宾馆(原武汉菲尔连锁酒店),武昌区
114.347788,30.548111,171,武汉鑫梦酒店(楚河汉街店),武昌区
114.348101,30.546516,172,城市便捷酒店(武汉中南医院水果湖地铁站店),武昌区
114.325186,30.532213,173,城市四季酒店(武汉梅苑小区地铁站店),武昌区
114.359891,30.575685,174,雅斯特酒店(武汉楚河汉街东湖岳家嘴地铁站店),武昌区
114.300223,30.548711,175,成开青年酒店,武昌区
114.328793,30.530204,176,武汉盛世酒店公寓,武昌区
114.342816,30.585667,177,武汉天鹅情酒店,武昌区
114.334410,30.531198,178,武汉卡尔斯影院公寓,武昌区
114.336411,30.558065,179,楚汉望沙酒店,武昌区
114.318408,30.532636,180,武汉黄冈旅馆,武昌区
114.299659,30.545828,181,宜必思酒店(武汉司门口黄鹤楼地铁站店),武昌区
114.315583,30.555721,182,武汉归来青年旅舍,武昌区
114.318336,30.526468,183,武汉园丁宾馆,武昌区
114.336375,30.557948,184,蓝湾酒店(楚河汉街店),武昌区
114.342308,30.586180,185,武汉F9公寓,武昌区
114.323814,30.518896,186,城市便捷酒店(武汉武昌火车站东广场店),武昌区
114.305549,30.547558,187,武汉拉普达青年公寓,武昌区
114.308461,30.537440,188,武汉凯邦快捷宾馆首义店,武昌区
114.304034,30.538177,189,俪居美伦酒店(武汉黄鹤楼首义广场店),武昌区
114.354224,30.581173,190,武汉港湾酒店公寓,武昌区
114.355539,30.571834,191,世纪时尚酒店(武汉楚河汉街店),武昌区
114.342742,30.585691,192,武汉爱家酒店公寓,武昌区
114.354243,30.581177,193,武汉平霞赛百家公寓,武昌区
114.334392,30.531134,194,象牙民宿(武汉中南国际汇店),武昌区
114.300354,30.547375,195,武汉自由城客栈,武昌区
114.342282,30.586260,196,武汉祥和情侣主题公寓(徐东销品茂店),武昌区
114.330280,30.549425,197,怡莱酒店(武汉洪山广场店),武昌区
114.341849,30.555744,198,武汉南乡子公寓,武昌区
114.309130,30.539640,199,武汉梦园宾馆,武昌区
114.333245,30.528080,200,城市便捷酒店(武汉梅苑小区地铁站丁字桥路店),武昌区
114.324086,30.531562,201,武汉等你主题青年旅舍,武昌区
114.350148,30.554514,202,武汉康达民宿,武昌区
114.308628,30.548196,203,99优选酒店(武汉黄鹤楼户部巷胭脂路店),武昌区
114.317350,30.531218,204,速7酒店式公寓(武汉武昌火车站店),武昌区
114.303646,30.534482,205,锦江之星(武汉黄鹤楼复兴路地铁站店),武昌区
114.337160,30.557841,206,武汉丽斯酒店公寓,武昌区
114.317943,30.530368,207,梦江南商务酒店(武汉武昌火车站店),武昌区
114.354162,30.581218,208,武汉福星酒店公寓,武昌区
114.346014,30.593747,209,乔希尔城市酒店(武汉徐东地铁站店),武昌区
114.343235,30.528937,210,亚贸恒升大酒店,武昌区
114.325691,30.573844,211,城市便捷酒店(友谊大道车管所店),武昌区
114.299756,30.546593,212,城市便捷酒店(武汉黄鹤楼户部巷店),武昌区
114.299641,30.548058,213,如家酒店(武汉粮道街司门口黄鹤楼地铁站店),武昌区
114.329313,30.579832,214,新兴酒店式公寓(武汉湖北大学店),武昌区
114.341868,30.555760,215,武汉柒玖艺术酒店(万达楚河汉街地铁站店),武昌区
114.308868,30.547907,216,武汉天玺酒店,武昌区
114.314864,30.527419,217,昌瑞宾馆,武昌区
114.316882,30.535061,218,武汉远鹏招待所,武昌区
114.342108,30.555796,219,梅花引公寓(楚河汉街万达广场店),武昌区
114.342620,30.585776,220,武汉520倩侣主题公寓,武昌区
114.321037,30.574765,221,汉庭酒店(武汉湖北大学店),武昌区
114.359795,30.573919,222,武汉云鼎商务酒店,武昌区
114.337304,30.557542,223,皇冠酒店(武汉楚河汉街万达店),武昌区
114.331925,30.537717,224,锦程太空舱连锁青年公寓(武汉中南路地铁站店),武昌区
114.322545,30.544097,225,如家酒店·neo(武汉黄鹤楼民主路小东门地铁站店),武昌区
114.317513,30.532201,226,旅居乐精选酒店(武昌火车站店),武昌区
114.342033,30.555665,227,蔚兰酒店(武汉楚河汉街店),武昌区
114.33022,30.54401,228,欧喜得精品酒店(武汉中南路洪山广场店),武昌区
114.347180,30.604003,229,银河源宿酒店,武昌区
114.332719,30.527190,230,武汉music青年旅舍,武昌区
114.299128,30.540049,231,武汉皇庭都市旅馆,武昌区
114.308109,30.537504,232,武汉明宇城市旅馆,武昌区
114.300885,30.545977,233,中铁瑞微酒店(黄鹤楼户部巷店),武昌区
114.319589,30.509248,234,武汉巴厘阳光酒店,武昌区
114.371289,30.530630,235,武汉新馨住宿,武昌区
114.337133,30.557833,236,美宿枫尚酒店(武汉楚河汉街万达店),武昌区
114.335201,30.539174,237,武汉水云间青年旅舍,武昌区
114.317548,30.538617,238,武汉好客来旅馆,武昌区
114.317575,30.532187,239,随心驿青年旅舍(武汉武昌火车站店),武昌区
114.334312,30.531181,240,卡曼电竞酒店,武昌区
114.299293,30.544051,241,丽枫酒店(武汉黄鹤楼店),武昌区
114.295633,30.539975,242,天马酒店(武汉黄鹤楼店),武昌区
114.317324,30.531691,243,武汉万金168公寓,武昌区
114.320148,30.574683,244,武汉天辰公寓,武昌区
114.341605,30.555617,245,武汉甜甜圈公寓,武昌区
114.337291,30.557746,246,艾玛公寓式酒店(万达汉街店),武昌区
114.337180,30.557770,247,武汉伽玛艺术酒店(楚河汉街店),武昌区
114.308295,30.546016,248,黄鹤公寓(武汉胭脂花园店),武昌区
114.302571,30.539557,249,速7连锁宾馆(武汉彭刘杨店),武昌区
114.337287,30.531333,250,莫泰酒店(武汉武珞路中南宝通寺地铁站店),武昌区
114.343901,30.580194,251,武汉武昌飞翔公寓,武昌区
114.296341,30.534366,252,武汉好运旅馆,武昌区
114.309475,30.508106,253,武汉保利酒店南湖路店,武昌区
114.326976,30.572861,254,武汉梦8时尚旅馆,武昌区
114.300087,30.540149,255,武汉新先商务宾馆,武昌区
114.317319,30.531276,256,奔爱四季酒店(武汉武昌火车站店),武昌区
114.297820,30.509152,257,武汉美尚酒店,武昌区
114.315936,30.528529,258,假日迷你酒店,武昌区
114.337585,30.557873,259,A·HM汉美酒店公寓(武汉楚河汉街店),武昌区
114.318751,30.532721,260,武汉武昌温馨家园旅馆,武昌区
114.340270,30.553550,261,武汉半岛酒店式公寓,武昌区
114.295978,30.547117,262,武汉洪7宾馆,武昌区
114.311324,30.565959,263,武汉万达九号公寓,武昌区
114.318196,30.524157,264,思恋宾馆(武昌火车站店),武昌区
114.326382,30.542463,265,武汉润丽精品酒店,武昌区
114.317324,30.531691,266,城市之家酒店式公寓(武昌火车站店),武昌区
114.310774,30.563442,267,隆程大酒店,武昌区
114.341949,30.555923,268,好莱坞公寓(武汉楚河汉街店),武昌区
114.328082,30.578718,269,武汉七七时尚公寓,武昌区
114.313741,30.526266,270,武汉奥圣吉安商务宾馆,武昌区
114.319669,30.539529,271,武汉祥明旅馆,武昌区
114.329557,30.579286,272,武汉城市快捷公寓(湖北大学店),武昌区
114.328101,30.578739,273,武汉星七公寓,武昌区
114.343969,30.557799,274,武汉鑫发宾馆,武昌区
114.308824,30.521105,275,橙谊连锁酒店(武昌火车站武泰闸店),武昌区
114.300051,30.546424,276,108快捷宾馆,武昌区
114.343182,30.538211,277,五鑫宾馆(八一路店),武昌区
114.319644,30.536998,278,武汉泰坤宾馆,武昌区
