id,lng,lat,name,cityname,province,count
82,114.218724,30.559278,武汉地铁自助图书馆,武汉市,湖北省,1
83,114.209566,30.565625,玫瑰西园社区图书阅览室,武汉市,湖北省,1
84,109.909303,40.647433,绘本TAXI儿童连锁图书馆(保利店),包头市,内蒙古自治区,1
85,109.907442,40.650563,童友图书,包头市,内蒙古自治区,1
86,109.885701,40.653643,包头师范学院-图书馆,包头市,内蒙古自治区,1
87,109.891249,40.659564,涵思亲子阅读馆,包头市,内蒙古自治区,1
88,109.872294,40.668075,青山区图书馆,包头市,内蒙古自治区,1
89,109.948497,40.636427,包头轻工职业技术学院图书馆,包头市,内蒙古自治区,1
90,109.890080,40.669171,包头职业技术学院-图书馆,包头市,内蒙古自治区,1
91,109.860085,40.656765,舣舫公益图书馆(华联店),包头市,内蒙古自治区,1
92,114.361341,30.528984,武汉大学信息学部图书馆,武汉市,湖北省,1
93,114.360716,30.520017,华中师范大学图书馆,武汉市,湖北省,1
94,114.353908,30.519158,武汉理工大学东区图书馆,武汉市,湖北省,1
95,114.389608,30.605656,武汉地铁自助图书馆,武汉市,湖北省,1
96,114.328351,30.50415,洪山区图书馆,武汉市,湖北省,1
97,114.317787,30.516489,书画阅览,武汉市,湖北省,1
98,114.399349,30.518583,中国地质大学西区图书馆,武汉市,湖北省,1
99,114.308362,30.509387,红旗·九里少儿图书馆,武汉市,湖北省,1
100,114.368568,30.584002,武汉地铁自助图书馆(铁机路地铁站点),武汉市,湖北省,1
101,114.347790,30.522600,武汉理工大学图书馆,武汉市,湖北省,1
102,114.347696,30.522655,武汉理工大学西区图书馆,武汉市,湖北省,1
103,114.401543,30.492729,清觅自习室,武汉市,湖北省,1
104,114.391221,30.502581,武汉工程大学图书馆,武汉市,湖北省,1
105,114.361366,30.529050,武汉大学图书馆信息科学分馆,武汉市,湖北省,1
106,114.333601,30.509736,武汉理工大学南湖新校区图书馆,武汉市,湖北省,1
107,114.35375,30.519141,武汉理工大学马房山校区东院图书馆,武汉市,湖北省,1
108,114.425766,30.586219,武汉城市学院图书馆,武汉市,湖北省,1
109,114.286092,30.481194,武昌工学院图书馆,武汉市,湖北省,1
110,114.292513,30.490587,湖北省图书馆(复地悦城分馆),武汉市,湖北省,1
111,114.327644,30.503395,悠贝亲子图书馆,武汉市,湖北省,1
112,114.357395,30.471634,华中农业大学图书馆,武汉市,湖北省,1
113,114.30726,30.480019,湖北工业大学图书馆,武汉市,湖北省,1
114,114.343919,30.51296,武汉理工大学图书馆信息分馆,武汉市,湖北省,1
115,114.412059,30.512715,华中科技大学图书馆(新馆),武汉市,湖北省,1
116,114.391669,30.487097,中南民族大学图书馆,武汉市,湖北省,1
117,114.397415,30.494097,24小时自助图书馆(民族大道),武汉市,湖北省,1
118,114.273476,30.45886,武汉工商学院图书馆,武汉市,湖北省,1
119,114.336416,30.498332,24小时自助图书馆(书城路),武汉市,湖北省,1
120,114.432433,30.510472,华中科技大学东校区图书馆,武汉市,湖北省,1
